"gene_id","L22.1","L22.2","L22.3","R22.1","R22.2","R22.3","L27.1","L27.2","L27.3","R27.1","R27.2","R27.3","L32.1","L32.2","L32.3","R32.1","R32.2","R32.3"
"2607586241",39,12,4,13,22,31,4,5,0,28,14,17,42,9,22,13,20,18
"2607586242",388,157,40,118,132,162,44,29,5,254,144,148,337,302,170,139,161,172
"2607586244",1626,510,240,492,536,700,122,66,20,1080,887,780,1186,1009,507,667,663,523
"2607586245",807,390,89,248,306,426,67,57,8,489,330,304,558,489,246,270,297,259
"2607586253",2082,1167,697,1931,2159,2229,610,506,190,4585,3003,2832,3301,2739,2182,2841,2610,2521
"2607586256",419,204,54,226,269,255,57,34,2,323,255,305,538,445,288,243,339,317
"2607586258",472,155,42,193,236,353,80,30,8,504,330,357,593,399,202,255,298,298
"2607586259",828,335,88,556,499,674,104,46,6,1034,767,755,954,762,458,505,682,548
"2607586260",141,31,10,73,64,90,14,8,0,160,111,110,100,147,79,59,78,72
"2607586261",69,36,10,47,55,70,14,0,2,119,52,57,80,56,47,52,55,46
"2607586262",114,46,16,64,64,100,24,12,8,170,106,79,194,119,72,75,112,102
"2607586265",75,63,25,60,60,92,14,16,6,179,100,134,163,153,107,139,125,104
"2607586266",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"2607586267",0,2,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0
"2607586272",2,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
"2607586273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2607586274",0,0,0,0,0,4,0,0,0,0,6,2,0,0,0,1,0,0
"2607586280",185,45,10,142,88,176,16,5,0,590,399,359,274,207,81,224,262,146
"2607586282",191,41,10,133,119,157,11,9,0,388,272,265,178,143,78,160,184,173
"2607586283",535,204,41,316,319,526,62,29,10,914,486,505,513,406,258,302,382,320
"2607586286",1492,765,374,671,814,998,254,177,32,1099,871,747,874,757,491,531,616,513
"2607586289",188,55,39,91,109,128,26,21,6,153,112,124,176,166,95,87,86,106
"2607586290",695,303,180,460,594,577,92,70,34,437,457,383,454,397,269,436,437,362
"2607586292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2607586293",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2607586294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2607586295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2607586296",0,0,0,0,4,0,0,0,0,2,2,0,0,0,2,0,0,0
"2607586297",0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,2,0
"2607586298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2607586299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"2607586301",2,4,0,2,0,0,7,2,0,8,0,2,14,12,7,6,4,6
"2607586302",0,2,2,6,0,8,0,6,2,26,2,14,47,18,20,8,10,16
"2607586303",2,0,0,0,0,2,2,0,0,9,4,0,10,11,1,3,0,0
"2607586304",2,0,0,0,2,0,2,4,0,14,0,2,17,16,20,3,7,4
"2607586305",14,5,0,6,13,16,12,11,4,45,30,23,144,124,105,33,44,31
"2607586306",31,4,2,5,10,5,14,2,0,36,18,17,83,52,57,8,27,20
"2607586307",61,31,36,64,55,61,112,71,30,220,139,134,393,389,342,116,179,132
"2607586308",6,0,0,0,4,0,2,0,0,0,0,2,3,13,0,0,0,0
"2607586309",4,10,0,3,1,5,2,0,0,0,0,4,34,39,6,0,3,3
"2607586311",36,8,2,20,9,14,30,8,10,7,10,11,117,79,85,11,8,4
"2607586312",1405,394,187,6,13,13,349,207,42,6,4,4,2032,1657,1227,0,2,9
"2607586313",1943,548,215,20,32,22,473,273,88,26,12,11,2824,2143,1489,19,21,12
"2607586314",10923,4248,2439,216,352,346,4145,2381,775,350,230,199,13416,11323,9399,328,262,310
"2607586318",0,0,0,0,0,0,0,0,0,6,0,0,6,2,0,0,0,0
"2607586319",195,59,15,13,40,50,32,28,5,65,71,56,365,216,144,56,55,44
"2607586323",54,28,4,39,30,52,16,2,0,32,61,75,84,105,34,35,24,19
"2607586324",170,67,22,75,103,160,34,22,4,137,99,104,148,138,74,112,130,109
"2607586325",206,75,34,76,110,139,20,8,2,135,117,162,129,111,70,69,85,71
"2607586326",113,80,26,116,143,135,31,25,8,196,139,163,190,198,78,110,134,89
"2607586327",442,196,63,229,241,276,58,32,6,236,222,244,427,340,207,182,155,158
"2607586328",266,102,41,141,183,141,39,22,12,187,202,224,298,311,171,103,97,109
"2607586329",347,151,45,166,157,206,58,24,2,243,222,208,370,237,175,102,131,142
"2607586330",491,190,84,188,228,283,44,20,10,369,314,293,441,376,274,208,204,157
"2607586331",461,153,100,168,261,258,111,86,42,345,308,308,458,412,263,221,214,227
"2607586332",266,138,27,125,163,137,64,28,10,331,214,192,376,291,226,156,149,116
"2607586333",559,220,69,245,240,291,120,82,26,650,545,530,835,632,420,382,366,340
"2607586334",167,57,16,91,104,111,27,15,5,364,234,242,272,216,147,97,130,111
"2607586335",301,110,35,99,168,135,67,38,4,560,422,370,394,377,218,226,188,181
"2607586336",319,134,88,159,196,203,123,78,16,373,309,335,642,509,339,368,368,297
"2607586337",232,71,21,6,4,5,79,35,12,9,4,2,582,457,322,7,3,6
"2607586339",70,47,26,0,2,1,84,121,58,8,4,0,271,162,140,10,2,0
"2607586340",0,1,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0
"2607586341",0,3,0,0,0,0,0,3,1,3,0,0,10,13,8,0,2,0
"2607586342",1,0,0,0,0,0,0,0,0,4,0,0,2,8,2,0,2,0
"2607586343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2607586344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2607586345",4,5,2,8,6,11,0,0,0,13,4,12,20,8,4,4,7,10
"2607586346",2,4,0,4,0,2,0,0,0,3,0,0,5,3,3,4,3,2
"2607586347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2607586348",10,1,0,0,2,3,0,0,1,2,2,0,4,6,2,0,0,0
"2607586350",13,2,8,34,28,34,2,0,2,76,50,50,18,4,19,26,30,6
"2607586351",3,0,0,0,3,5,0,0,0,9,7,13,4,1,1,1,1,3
"2607586352",92,53,8,120,100,126,6,8,5,243,199,146,107,71,72,117,130,94
"2607586353",474,340,250,562,668,702,206,115,41,1087,856,795,622,583,544,720,610,640
"2607586354",533,284,149,321,303,348,129,73,18,640,509,443,467,409,277,393,451,381
"2607586355",57,12,17,32,18,30,8,6,2,69,24,26,44,38,33,28,30,30
"2607586356",63,22,19,27,39,42,6,2,6,75,44,47,50,65,29,16,26,37
"2607586359",58,19,20,13,34,34,12,5,0,24,26,30,58,53,26,18,23,30
"2607586360",273,114,50,90,177,156,34,22,2,225,202,146,310,223,129,120,152,169
"2607586361",271,178,108,138,161,148,70,63,32,309,201,156,339,277,203,223,205,237
"2607586362",133,45,16,62,51,49,22,9,2,125,75,79,108,86,68,78,83,74
"2607586364",175,82,37,57,89,98,50,32,10,228,141,116,262,285,131,258,224,213
"2607586365",88,41,18,32,26,46,8,10,0,76,64,60,109,92,77,84,89,93
"2607586366",68,21,4,29,24,30,0,5,0,63,41,48,108,75,42,51,45,49
"2607586368",151,70,6,288,216,442,45,37,0,2153,979,849,587,532,295,368,538,444
"2607586369",4,0,2,0,4,9,2,0,2,3,3,4,0,2,4,0,1,2
"2607586370",58,18,36,42,36,44,8,2,0,81,44,46,35,52,28,32,44,27
"2607586372",2,0,2,0,0,0,0,2,2,10,0,0,4,0,2,0,0,0
"2607586373",8,4,2,24,10,6,2,2,1,29,18,16,18,9,10,14,20,4
"2607586375",122,41,26,49,87,91,18,22,4,90,68,82,71,108,72,53,101,71
"2607586376",144,69,20,82,80,100,24,8,0,88,72,49,66,78,32,54,77,48
"2607586379",599,231,117,281,364,398,89,50,15,822,467,404,825,663,321,446,485,463
"2607586380",108,35,18,49,63,82,15,17,10,142,95,100,92,80,49,72,91,79
"2607586382",48,18,11,28,28,27,8,4,0,44,33,37,46,25,26,29,17,21
"2607586383",148,63,32,52,91,91,22,8,6,160,95,121,155,124,110,83,92,96
"2607586384",168,92,45,53,59,61,24,22,12,112,80,105,135,138,112,89,126,100
"2607586385",131,62,16,66,54,115,9,9,0,332,168,118,209,190,108,153,156,107
"2607586386",23,10,2,16,19,27,8,4,0,66,58,33,40,16,25,27,29,28
"2607586387",28,4,16,4,6,14,6,4,2,56,44,14,77,36,17,22,12,26
"2607586389",283,105,47,134,160,130,25,14,6,257,159,168,161,190,120,208,153,191
"2607586390",370,198,155,238,254,266,83,65,40,330,242,277,327,253,200,350,328,330
"2607586391",65,12,2,33,28,40,0,0,0,54,26,37,40,32,18,21,42,26
"2607586392",0,2,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
"2607586394",147,93,63,104,140,167,42,28,16,183,124,169,105,112,96,194,128,107
"2607586395",10,6,0,2,10,6,0,4,0,2,10,15,8,2,6,8,6,2
"2607586396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2607586398",57,22,8,19,17,18,2,1,0,74,55,36,68,57,39,46,62,46
"2607586399",89,29,21,60,82,59,32,12,16,170,100,89,154,132,74,103,110,112
"2607586400",48,20,4,10,34,32,3,4,2,80,46,35,74,62,23,45,59,30
"2607586402",604,325,165,343,472,477,184,127,50,1111,728,763,794,741,597,827,730,751
"2607586405",25,4,0,19,8,26,0,0,4,31,23,24,32,35,17,13,18,24
"2607586409",159,45,36,100,131,100,28,42,6,201,122,156,176,154,91,104,136,123
"2607586411",113,41,13,44,34,64,14,4,2,118,101,67,116,101,67,58,74,73
"2607586412",39,15,6,15,16,18,0,2,4,42,29,53,36,35,24,38,28,26
"2607586413",170,116,28,100,76,119,52,26,14,170,121,141,125,144,108,129,143,77
"2607586414",18,4,0,1,5,11,0,0,0,25,15,8,4,0,2,4,12,7
"2607586415",5,0,0,4,7,0,0,0,0,8,0,8,2,6,2,1,0,0
"2607586416",0,0,0,2,0,0,0,0,0,2,2,1,0,2,0,0,0,0
"2607586417",8,0,2,9,14,2,0,0,2,8,4,11,0,6,0,5,6,2
"2607586419",16,4,0,5,7,12,0,0,0,26,11,18,18,11,2,8,2,7
"2607586420",5,2,0,2,2,0,0,0,0,8,13,2,4,5,0,8,6,0
"2607586421",2,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0
"2607586422",572,249,166,306,331,295,162,74,20,750,524,468,758,585,480,596,581,575
"2607586423",921,329,91,748,736,1095,91,33,2,2803,1901,1761,1423,1156,528,1216,1390,1222
"2607586425",169,48,7,37,65,62,8,4,0,91,91,69,94,102,60,45,56,71
"2607586427",209,77,30,114,108,129,20,14,2,189,102,149,213,187,130,123,113,125
"2607586430",538,275,132,257,322,332,119,80,16,459,416,484,673,585,473,426,483,408
"2607586431",1068,652,458,708,671,814,354,271,111,1057,868,898,1395,1245,1043,831,745,750
"2607586432",690,274,111,281,347,383,78,67,30,366,320,226,473,384,280,224,250,209
"2607586434",26291,12324,6213,11293,13632,13710,3546,2015,729,11893,10014,8292,10242,8310,6239,7501,7090,6468
"2607586440",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
"2607586441",50,31,24,35,44,31,22,8,12,48,74,51,70,82,28,42,50,66
"2607586442",336,169,59,144,175,197,79,58,20,315,255,197,478,418,241,215,223,279
"2607586443",47,8,20,11,42,22,10,8,2,24,35,33,89,55,40,44,27,36
"2607586444",249,137,50,140,164,167,72,24,8,227,194,201,258,212,145,180,194,175
"2607586445",187,76,38,81,123,113,34,11,2,161,111,119,177,125,80,75,88,81
"2607586446",197,82,44,66,114,106,22,15,14,137,111,96,175,161,120,88,114,125
"2607586448",3,0,2,3,4,7,0,0,0,6,6,4,2,6,3,3,10,5
"2607586449",11,2,0,7,6,1,2,0,0,10,6,5,9,18,6,6,8,7
"2607586450",63,38,6,40,32,59,14,6,2,83,72,77,92,73,54,108,122,92
"2607586452",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"2607586454",62,34,16,65,70,58,14,10,12,145,85,99,93,44,63,100,96,79
"2607586455",1013,564,258,503,616,668,216,162,52,1633,1096,1122,1446,1204,849,1223,1369,1119
"2607586457",675,417,229,376,539,603,212,122,52,981,671,657,646,549,465,655,597,552
"2607586458",23,3,1,4,21,8,3,1,0,61,43,30,36,23,11,12,16,25
"2607586459",345,153,68,216,219,200,80,28,6,455,264,324,334,245,205,242,226,226
"2607586462",44,16,16,52,54,93,28,11,12,187,135,137,183,164,87,126,142,121
"2607586464",210,87,48,97,105,143,44,10,4,176,129,145,155,126,84,102,104,105
"2607586465",627,223,121,458,506,516,66,57,26,975,502,506,344,225,222,484,465,429
"2607586467",67,25,7,40,42,75,11,3,0,156,106,97,40,51,28,55,57,69
"2607586468",19,2,4,8,4,11,4,1,0,24,17,17,20,13,16,10,24,31
"2607586469",436,118,34,245,303,379,50,39,2,687,478,486,496,372,207,295,457,302
"2607586470",2401,1111,535,1286,1752,1788,418,233,65,3062,1936,2162,1945,1720,1293,1597,1704,1863
"2607586471",2529,1439,857,1716,2056,1986,564,417,136,3438,2385,2256,1789,1669,1322,2005,1886,1898
"2607586472",2105,993,523,1267,1493,1532,349,261,84,2644,1701,1825,1613,1377,947,1343,1472,1375
"2607586475",30,10,3,26,41,14,4,2,0,29,23,39,26,30,6,12,27,12
"2607586476",810,375,110,477,582,722,62,26,4,445,339,347,398,350,254,213,233,263
"2607586477",329,82,22,119,148,231,16,11,3,455,314,296,183,166,87,152,199,135
"2607586481",47,16,3,33,31,20,0,0,0,23,35,39,34,17,16,15,21,20
"2607586483",191,73,44,117,127,109,33,28,8,202,133,190,174,162,109,103,132,106
"2607586484",40,12,2,21,11,28,4,2,0,25,12,19,19,23,11,12,28,21
"2607586486",2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"2607586487",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0
"2607586489",1325,587,306,510,604,721,230,131,64,1237,853,672,1101,908,684,778,764,712
"2607586490",187,72,63,49,58,63,49,22,6,111,53,53,217,164,90,72,68,72
"2607586491",0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2
"2607586492",25,10,0,12,6,24,6,2,0,44,32,16,37,21,25,15,30,16
"2607586493",55,34,15,18,16,30,8,8,4,59,36,58,92,55,32,24,25,29
"2607586494",2,0,0,2,2,8,0,0,0,4,8,2,1,2,0,0,6,2
"2607586496",844,337,157,434,447,517,171,113,52,1001,759,776,765,733,485,763,658,659
"2607586497",1013,576,265,634,786,661,193,155,64,1494,1124,1143,1081,909,707,952,951,835
"2607586499",659,291,99,187,234,260,107,50,6,275,162,117,413,386,286,199,251,322
"2607586502",101,41,21,75,116,135,12,8,0,131,130,95,166,122,135,81,84,76
"2607586504",8,6,0,2,4,10,0,0,0,12,12,7,2,7,5,5,9,6
"2607586505",908,492,177,427,509,499,99,72,33,461,339,396,344,353,240,436,402,511
"2607586509",286,110,59,129,130,176,39,16,8,195,230,193,184,184,115,136,162,112
"2607586510",146,65,51,50,80,92,33,12,2,101,100,106,108,106,75,66,88,58
"2607586512",150,50,6,68,41,102,17,8,4,196,165,103,243,141,88,78,97,116
"2607586513",108,41,22,63,72,69,20,16,2,251,150,131,216,176,124,82,104,144
"2607586514",81,38,19,32,40,47,9,7,2,95,87,85,73,71,30,27,44,43
"2607586516",8,10,0,0,0,21,0,0,0,11,17,4,10,6,2,6,2,6
"2607586518",3,2,0,0,5,1,0,0,0,0,0,1,3,1,1,1,2,0
"2607586520",2,2,0,2,1,3,0,0,0,2,14,2,8,4,4,6,0,2
"2607586521",31,12,11,31,48,34,18,10,0,34,40,42,48,57,35,42,23,31
"2607586525",4410,2020,875,2387,3028,3168,873,540,206,5572,3794,3315,5113,4367,2634,3768,3754,4266
"2607586526",62,26,4,35,40,41,4,5,2,78,73,51,104,101,44,43,40,44
"2607586529",914,616,350,619,712,814,258,138,53,1294,1179,976,948,857,748,835,859,833
"2607586531",1109,405,114,509,554,739,125,79,14,1131,860,902,977,799,526,654,781,634
"2607586532",0,2,0,0,2,0,0,0,0,0,1,9,2,6,0,0,2,0
"2607586533",8,0,2,0,0,2,0,0,0,1,0,4,4,2,2,2,2,3
"2607586534",0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,2,0,2
"2607586535",2,0,0,0,0,0,0,0,0,10,2,0,0,2,2,0,2,2
"2607586536",4,2,0,6,10,5,0,4,3,17,7,3,12,18,14,4,2,0
"2607586538",10,3,0,8,6,11,0,0,0,14,21,11,16,12,4,6,13,6
"2607586539",184,61,13,129,121,220,26,19,0,900,359,321,229,253,120,209,324,277
"2607586540",12,2,2,1,0,11,0,0,0,9,2,5,13,4,3,0,0,1
"2607586541",7,5,2,20,6,23,2,0,0,101,34,31,30,17,21,21,23,31
"2607586542",32,17,11,14,15,35,7,3,0,112,56,48,44,33,31,43,35,33
"2607586544",270,92,46,141,140,143,36,28,12,280,152,188,248,219,147,197,156,169
"2607586545",540,270,112,312,373,342,99,64,30,510,347,372,450,417,279,346,317,344
"2607586546",14,11,2,4,8,9,2,0,0,30,5,23,32,24,12,17,23,21
"2607586547",30,1,8,21,25,31,6,4,0,42,17,23,58,30,29,13,23,14
"2607586549",11,8,2,12,10,11,0,2,0,45,19,26,33,12,14,10,12,11
"2607586554",637,253,58,386,442,612,58,53,7,948,620,622,626,490,302,363,404,259
"2607586555",344,148,45,199,253,346,26,19,2,265,276,321,270,214,155,139,194,156
"2607586557",4082,1990,767,7245,8728,9240,147,60,26,8137,4334,2400,982,883,447,3124,3547,3940
"2607586558",380,185,63,337,385,588,8,2,2,502,285,128,82,101,47,179,251,282
"2607586559",2206,1345,763,2003,2386,2443,229,102,54,2063,1542,1036,894,821,630,1303,1595,1975
"2607586560",625,270,65,430,564,599,42,14,3,783,487,348,468,375,208,358,520,591
"2607586562",1474,673,499,735,868,872,562,309,133,1425,878,938,1908,1694,1245,1250,1136,1178
"2607586563",11592,5865,3540,5794,6427,6219,4650,2634,905,11266,7686,7611,16225,14490,10944,7836,8223,7495
"2607586564",13320,6582,3724,6478,7314,7715,4694,2611,857,13663,9651,9152,18274,16484,11908,9217,9365,8235
"2607586565",265,108,33,140,144,179,52,36,36,401,352,387,393,378,324,391,444,290
"2607586566",1,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0
"2607586568",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2607586569",77,58,28,66,81,68,60,21,4,184,126,134,157,165,115,143,121,139
"2607586570",71,35,26,20,23,44,12,8,6,34,21,22,78,50,35,17,26,37
